[BBR-LOG] T=0.062 s, Send=0.18 Mbps, Recv=0.30 Mbps, Total=0.48 Mbps, EstBW=0.02 Mbps, PacingRate=0.05 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.02 Mbps, RTT=57065 us, MinRTT=57065 us, CWND=12339 B, InFlight=1286 B, Lost=0, State=STARTUP, Pkts=3/0, Bytes=1425/2440
[BBR-LOG] T=0.059 s, Send=0.19 Mbps, Recv=0.33 Mbps, Total=0.52 Mbps, EstBW=0.02 Mbps, PacingRate=0.05 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.02 Mbps, RTT=57275 us, MinRTT=57275 us, CWND=12339 B, InFlight=1286 B, Lost=0, State=STARTUP, Pkts=3/0, Bytes=1425/2440
[BBR-LOG] T=0.059 s, Send=0.19 Mbps, Recv=0.33 Mbps, Total=0.52 Mbps, EstBW=0.02 Mbps, PacingRate=0.05 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.02 Mbps, RTT=57086 us, MinRTT=57086 us, CWND=12338 B, InFlight=1286 B, Lost=0, State=STARTUP, Pkts=3/0, Bytes=1424/2440
[BBR-LOG] T=0.064 s, Send=0.18 Mbps, Recv=0.30 Mbps, Total=0.48 Mbps, EstBW=0.02 Mbps, PacingRate=0.05 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.02 Mbps, RTT=61583 us, MinRTT=61583 us, CWND=12339 B, InFlight=1286 B, Lost=0, State=STARTUP, Pkts=3/0, Bytes=1425/2440
[BBR-LOG] T=0.112 s, Send=2.54 Mbps, Recv=0.21 Mbps, Total=2.75 Mbps, EstBW=0.65 Mbps, PacingRate=1.88 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.16 Mbps, RTT=56330 us, MinRTT=49425 us, CWND=17285 B, InFlight=10980 B, Lost=0, State=STARTUP, Pkts=13/0, Bytes=15860/1287
[BBR-LOG] T=0.109 s, Send=2.56 Mbps, Recv=0.21 Mbps, Total=2.76 Mbps, EstBW=0.33 Mbps, PacingRate=0.96 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.17 Mbps, RTT=57409 us, MinRTT=49485 us, CWND=14845 B, InFlight=13420 B, Lost=0, State=STARTUP, Pkts=13/0, Bytes=15860/1287
[BBR-LOG] T=0.115 s, Send=2.28 Mbps, Recv=0.38 Mbps, Total=2.67 Mbps, EstBW=0.83 Mbps, PacingRate=2.40 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.17 Mbps, RTT=56962 us, MinRTT=55144 us, CWND=18504 B, InFlight=9760 B, Lost=0, State=STARTUP, Pkts=13/0, Bytes=15860/2665
[BBR-LOG] T=0.119 s, Send=2.32 Mbps, Recv=0.40 Mbps, Total=2.72 Mbps, EstBW=0.46 Mbps, PacingRate=1.34 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.15 Mbps, RTT=60810 us, MinRTT=54447 us, CWND=16065 B, InFlight=12200 B, Lost=0, State=STARTUP, Pkts=13/0, Bytes=15860/2711
[BBR-LOG] T=0.157 s, Send=5.19 Mbps, Recv=0.27 Mbps, Total=5.46 Mbps, EstBW=2.37 Mbps, PacingRate=6.83 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=1.98 Mbps, RTT=53812 us, MinRTT=44982 us, CWND=31957 B, InFlight=25620 B, Lost=0, State=STARTUP, Pkts=24/0, Bytes=29312/1516
[BBR-LOG] T=0.154 s, Send=5.17 Mbps, Recv=0.28 Mbps, Total=5.45 Mbps, EstBW=2.57 Mbps, PacingRate=7.41 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=2.37 Mbps, RTT=54588 us, MinRTT=45267 us, CWND=30737 B, InFlight=26840 B, Lost=0, State=STARTUP, Pkts=24/0, Bytes=29312/1562
[BBR-LOG] T=0.159 s, Send=5.32 Mbps, Recv=0.01 Mbps, Total=5.34 Mbps, EstBW=2.11 Mbps, PacingRate=6.08 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.00 Mbps, RTT=54393 us, MinRTT=42658 us, CWND=41716 B, InFlight=15860 B, Lost=0, State=STARTUP, Pkts=25/0, Bytes=29338/81
[BBR-LOG] T=0.189 s, Send=7.75 Mbps, Recv=0.04 Mbps, Total=7.79 Mbps, EstBW=2.67 Mbps, PacingRate=7.71 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=2.48 Mbps, RTT=53443 us, MinRTT=42913 us, CWND=45377 B, InFlight=39984 B, Lost=0, State=STARTUP, Pkts=27/0, Bytes=33884/173
[BBR-LOG] T=0.189 s, Send=7.00 Mbps, Recv=0.02 Mbps, Total=7.02 Mbps, EstBW=2.11 Mbps, PacingRate=6.08 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=1.72 Mbps, RTT=56419 us, MinRTT=42658 us, CWND=41716 B, InFlight=39792 B, Lost=0, State=STARTUP, Pkts=21/0, Bytes=26372/92
[BBR-LOG] T=0.197 s, Send=11.62 Mbps, Recv=0.03 Mbps, Total=11.65 Mbps, EstBW=5.88 Mbps, PacingRate=16.97 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=4.01 Mbps, RTT=47554 us, MinRTT=38133 us, CWND=68925 B, InFlight=46324 B, Lost=0, State=STARTUP, Pkts=47/0, Bytes=57701/173
[BBR-LOG] T=0.199 s, Send=2.94 Mbps, Recv=0.03 Mbps, Total=2.97 Mbps, EstBW=1.85 Mbps, PacingRate=5.35 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.00 Mbps, RTT=60836 us, MinRTT=49207 us, CWND=36837 B, InFlight=20740 B, Lost=0, State=STARTUP, Pkts=25/0, Bytes=29339/269
[BBR-LOG] T=0.228 s, Send=8.61 Mbps, Recv=0.04 Mbps, Total=8.64 Mbps, EstBW=6.32 Mbps, PacingRate=18.24 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=2.89 Mbps, RTT=49028 us, MinRTT=38133 us, CWND=70940 B, InFlight=63428 B, Lost=3, State=STARTUP, Pkts=25/3, Bytes=33380/140
[BBR-LOG] T=0.225 s, Send=15.30 Mbps, Recv=0.07 Mbps, Total=15.37 Mbps, EstBW=6.77 Mbps, PacingRate=19.53 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=5.25 Mbps, RTT=52922 us, MinRTT=38659 us, CWND=82857 B, InFlight=70648 B, Lost=0, State=STARTUP, Pkts=53/0, Bytes=68173/314
[BBR-LOG] T=0.229 s, Send=4.71 Mbps, Recv=0.09 Mbps, Total=4.80 Mbps, EstBW=4.25 Mbps, PacingRate=12.26 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=2.23 Mbps, RTT=60263 us, MinRTT=42658 us, CWND=52872 B, InFlight=46324 B, Lost=0, State=STARTUP, Pkts=19/0, Bytes=23788/450
[BBR-LOG] T=0.251 s, Send=19.78 Mbps, Recv=0.19 Mbps, Total=19.96 Mbps, EstBW=13.32 Mbps, PacingRate=38.46 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=10.08 Mbps, RTT=50184 us, MinRTT=33373 us, CWND=72124 B, InFlight=69460 B, Lost=0, State=STARTUP, Pkts=43/0, Bytes=58831/553
[BBR-LOG] T=0.249 s, Send=18.75 Mbps, Recv=0.06 Mbps, Total=18.81 Mbps, EstBW=6.77 Mbps, PacingRate=19.53 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=5.66 Mbps, RTT=50180 us, MinRTT=34660 us, CWND=104141 B, InFlight=97236 B, Lost=0, State=STARTUP, Pkts=42/0, Bytes=55944/188
[BBR-LOG] T=0.249 s, Send=28.37 Mbps, Recv=0.04 Mbps, Total=28.41 Mbps, EstBW=5.77 Mbps, PacingRate=16.67 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=3.91 Mbps, RTT=61299 us, MinRTT=40437 us, CWND=99196 B, InFlight=69344 B, Lost=0, State=STARTUP, Pkts=53/0, Bytes=69370/94
[BBR-LOG] T=0.259 s, Send=6.46 Mbps, Recv=0.05 Mbps, Total=6.51 Mbps, EstBW=2.94 Mbps, PacingRate=8.50 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.00 Mbps, RTT=67105 us, MinRTT=49207 us, CWND=57913 B, InFlight=38812 B, Lost=0, State=STARTUP, Pkts=40/0, Bytes=48937/370
[BBR-LOG] T=0.271 s, Send=3.40 Mbps, Recv=0.06 Mbps, Total=3.45 Mbps, EstBW=13.32 Mbps, PacingRate=38.46 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=8.11 Mbps, RTT=50511 us, MinRTT=33373 us, CWND=144181 B, InFlight=58023 B, Lost=0, State=STARTUP, Pkts=7/0, Bytes=8543/141
[BBR-LOG] T=0.269 s, Send=26.91 Mbps, Recv=0.17 Mbps, Total=27.07 Mbps, EstBW=10.99 Mbps, PacingRate=31.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=8.78 Mbps, RTT=51538 us, MinRTT=34660 us, CWND=146765 B, InFlight=108366 B, Lost=0, State=STARTUP, Pkts=50/0, Bytes=68433/424
[BBR-LOG] T=0.274 s, Send=9.62 Mbps, Recv=0.04 Mbps, Total=9.66 Mbps, EstBW=5.77 Mbps, PacingRate=16.67 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=2.98 Mbps, RTT=59244 us, MinRTT=40437 us, CWND=99196 B, InFlight=97236 B, Lost=0, State=STARTUP, Pkts=23/0, Bytes=30636/141
[BBR-LOG] T=0.280 s, Send=0.02 Mbps, Recv=0.30 Mbps, Total=0.32 Mbps, EstBW=11.85 Mbps, PacingRate=34.20 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=10.80 Mbps, RTT=51398 us, MinRTT=34660 us, CWND=156089 B, InFlight=99042 B, Lost=0, State=STARTUP, Pkts=1/0, Bytes=27/381
[BBR-LOG] T=0.291 s, Send=26.79 Mbps, Recv=0.25 Mbps, Total=27.03 Mbps, EstBW=13.32 Mbps, PacingRate=38.46 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=10.03 Mbps, RTT=45524 us, MinRTT=33373 us, CWND=171069 B, InFlight=72653 B, Lost=0, State=STARTUP, Pkts=50/0, Bytes=66990/613
[BBR-LOG] T=0.289 s, Send=41.45 Mbps, Recv=0.49 Mbps, Total=41.94 Mbps, EstBW=13.23 Mbps, PacingRate=38.20 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=13.15 Mbps, RTT=48302 us, MinRTT=39917 us, CWND=161800 B, InFlight=92530 B, Lost=0, State=STARTUP, Pkts=56/0, Bytes=75270/893
[BBR-LOG] T=0.299 s, Send=0.00 Mbps, Recv=0.07 Mbps, Total=0.07 Mbps, EstBW=13.23 Mbps, PacingRate=38.20 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=12.63 Mbps, RTT=48540 us, MinRTT=39917 us, CWND=164464 B, InFlight=89866 B, Lost=0, State=STARTUP, Pkts=0/0, Bytes=0/96
[BBR-LOG] T=0.307 s, Send=0.00 Mbps, Recv=0.02 Mbps, Total=0.02 Mbps, EstBW=13.32 Mbps, PacingRate=38.46 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=9.05 Mbps, RTT=46052 us, MinRTT=33373 us, CWND=171069 B, InFlight=66934 B, Lost=0, State=STARTUP, Pkts=0/0, Bytes=0/47
[BBR-LOG] T=0.305 s, Send=0.01 Mbps, Recv=0.09 Mbps, Total=0.10 Mbps, EstBW=16.68 Mbps, PacingRate=48.15 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=14.40 Mbps, RTT=50695 us, MinRTT=34660 us, CWND=220673 B, InFlight=34458 B, Lost=0, State=STARTUP, Pkts=1/0, Bytes=27/287
[BBR-LOG] T=0.337 s, Send=27.71 Mbps, Recv=0.10 Mbps, Total=27.80 Mbps, EstBW=13.32 Mbps, PacingRate=38.46 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=8.30 Mbps, RTT=48457 us, MinRTT=33373 us, CWND=171069 B, InFlight=161562 B, Lost=0, State=STARTUP, Pkts=71/0, Bytes=104512/372
[BBR-LOG] T=0.335 s, Send=0.01 Mbps, Recv=0.08 Mbps, Total=0.09 Mbps, EstBW=14.41 Mbps, PacingRate=41.59 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=12.64 Mbps, RTT=50778 us, MinRTT=39917 us, CWND=184824 B, InFlight=69506 B, Lost=0, State=STARTUP, Pkts=2/0, Bytes=55/334
[BBR-LOG] T=0.334 s, Send=8.48 Mbps, Recv=0.04 Mbps, Total=8.51 Mbps, EstBW=4.91 Mbps, PacingRate=14.18 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.00 Mbps, RTT=61172 us, MinRTT=49207 us, CWND=99337 B, InFlight=57276 B, Lost=0, State=STARTUP, Pkts=60/0, Bytes=78695/329
