[BBR-LOG] T=0.032 s, Send=0.35 Mbps, Recv=0.60 Mbps, Total=0.95 Mbps, EstBW=0.04 Mbps, PacingRate=0.10 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.04 Mbps, RTT=30205 us, MinRTT=30205 us, CWND=12338 B, InFlight=1286 B, Lost=0, State=STARTUP, Pkts=3/0, Bytes=1424/2440, SendDelay=30717 us, AckDelay=30717 us
[BBR-LOG] T=0.063 s, Send=4.09 Mbps, Recv=0.68 Mbps, Total=4.77 Mbps, EstBW=2.41 Mbps, PacingRate=6.96 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=0.31 Mbps, RTT=30173 us, MinRTT=29323 us, CWND=22164 B, InFlight=6100 B, Lost=0, State=STARTUP, Pkts=13/0, Bytes=15860/2619, SendDelay=31101 us, AckDelay=30764 us
[BBR-LOG] T=0.093 s, Send=7.93 Mbps, Recv=0.42 Mbps, Total=8.36 Mbps, EstBW=3.46 Mbps, PacingRate=9.99 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=1.99 Mbps, RTT=29806 us, MinRTT=28857 us, CWND=34396 B, InFlight=23180 B, Lost=0, State=STARTUP, Pkts=24/0, Bytes=29312/1569, SendDelay=29509 us, AckDelay=29559 us
[BBR-LOG] T=0.124 s, Send=14.90 Mbps, Recv=0.44 Mbps, Total=15.34 Mbps, EstBW=8.28 Mbps, PacingRate=23.89 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=6.29 Mbps, RTT=29733 us, MinRTT=28854 us, CWND=66420 B, InFlight=48828 B, Lost=0, State=STARTUP, Pkts=47/0, Bytes=57698/1691, SendDelay=29495 us, AckDelay=30977 us
[BBR-LOG] T=0.157 s, Send=24.04 Mbps, Recv=0.09 Mbps, Total=24.13 Mbps, EstBW=20.03 Mbps, PacingRate=57.83 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=13.02 Mbps, RTT=30123 us, MinRTT=28854 us, CWND=173008 B, InFlight=43049 B, Lost=0, State=STARTUP, Pkts=77/0, Bytes=100809/375, SendDelay=30867 us, AckDelay=33472 us
[BBR-LOG] T=0.183 s, Send=20.62 Mbps, Recv=0.02 Mbps, Total=20.64 Mbps, EstBW=26.68 Mbps, PacingRate=77.01 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=26.52 Mbps, RTT=30163 us, MinRTT=28854 us, CWND=216057 B, InFlight=66934 B, Lost=0, State=STARTUP, Pkts=49/0, Bytes=66960/75, SendDelay=29513 us, AckDelay=30414 us
[BBR-LOG] T=0.216 s, Send=52.58 Mbps, Recv=0.05 Mbps, Total=52.63 Mbps, EstBW=26.68 Mbps, PacingRate=77.01 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=9.84 Mbps, RTT=30167 us, MinRTT=28854 us, CWND=214624 B, InFlight=104488 B, Lost=2, State=STARTUP, Pkts=152/2, Bytes=214624/199, SendDelay=55597 us, AckDelay=57649 us
[BBR-LOG] T=0.247 s, Send=74.24 Mbps, Recv=0.05 Mbps, Total=74.28 Mbps, EstBW=57.06 Mbps, PacingRate=164.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=27.30 Mbps, RTT=30142 us, MinRTT=28854 us, CWND=338880 B, InFlight=232446 B, Lost=0, State=STARTUP, Pkts=203/0, Bytes=286102/191, SendDelay=31038 us, AckDelay=30911 us
[BBR-LOG] T=0.278 s, Send=110.59 Mbps, Recv=0.06 Mbps, Total=110.65 Mbps, EstBW=70.84 Mbps, PacingRate=204.50 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=61.02 Mbps, RTT=30698 us, MinRTT=28854 us, CWND=699742 B, InFlight=401486 B, Lost=0, State=STARTUP, Pkts=311/0, Bytes=437591/250, SendDelay=30659 us, AckDelay=31642 us
[BBR-LOG] T=0.311 s, Send=267.64 Mbps, Recv=0.14 Mbps, Total=267.78 Mbps, EstBW=104.34 Mbps, PacingRate=301.20 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=102.39 Mbps, RTT=31558 us, MinRTT=28854 us, CWND=1099948 B, InFlight=1071708 B, Lost=1, State=STARTUP, Pkts=780/1, Bytes=1101420/587, SendDelay=31594 us, AckDelay=32948 us
[BBR-LOG] T=0.324 s, Send=281.66 Mbps, Recv=0.15 Mbps, Total=281.81 Mbps, EstBW=165.46 Mbps, PacingRate=477.64 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=136.59 Mbps, RTT=33029 us, MinRTT=28854 us, CWND=1098536 B, InFlight=806152 B, Lost=1, State=STARTUP, Pkts=311/1, Bytes=439032/233, SendDelay=33497 us, AckDelay=38359 us
